customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn (Yes=1)
8168-UQWWF,0,0,0,0,11,1,Yes,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Bank transfer (automatic),97.85,1
8865-TNMNX,1,0,1,1,10,1,No,DSL,0,1,0,0,0,0,One year,0,Mailed check,49.55,0
9489-DEDVP,0,0,1,1,70,1,Yes,DSL,1,1,0,0,1,0,Two year,1,Credit card (automatic),69.2,0
4671-VJLCL,0,0,0,0,63,1,Yes,DSL,1,1,1,1,1,0,Two year,1,Credit card (automatic),79.85,0
4080-IIARD,0,0,1,0,13,1,Yes,DSL,1,1,0,1,1,0,Month-to-month,1,Electronic check,76.2,0
3714-NTNFO,0,0,0,0,49,1,Yes,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,84.5,0
5948-UJZLF,1,0,0,0,2,1,No,DSL,0,1,0,0,0,0,Month-to-month,0,Mailed check,49.25,0
7760-OYPDY,0,0,0,0,2,1,No,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,80.65,1
7639-LIAYI,1,0,0,0,52,1,Yes,DSL,1,0,0,1,1,1,Two year,1,Credit card (automatic),79.75,0
2954-PIBKO,0,0,1,1,69,1,Yes,DSL,1,0,1,1,0,0,Two year,1,Credit card (automatic),64.15,0
8012-SOUDQ,0,1,0,0,43,1,Yes,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Electronic check,90.25,0
9420-LOJKX,0,0,0,0,15,1,No,Fiber optic,1,1,0,0,1,1,Month-to-month,1,Credit card (automatic),99.1,1
6575-SUVOI,0,1,1,0,25,1,Yes,DSL,1,0,0,1,1,0,Month-to-month,1,Credit card (automatic),69.5,0
7495-OOKFY,0,1,1,0,8,1,Yes,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Credit card (automatic),80.65,1
4667-QONEA,0,1,1,1,60,1,No,DSL,1,1,1,1,0,1,One year,1,Credit card (automatic),74.85,0
1658-BYGOY,1,1,0,0,18,1,Yes,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,95.45,1
8769-KKTPH,0,0,1,1,63,1,Yes,Fiber optic,1,0,0,0,1,1,One year,1,Credit card (automatic),99.65,0
5067-XJQFU,1,1,1,1,66,1,Yes,Fiber optic,0,1,1,1,1,1,One year,1,Electronic check,108.45,0
5954-BDFSG,0,0,0,0,72,1,Yes,Fiber optic,0,0,1,1,1,1,Two year,1,Credit card (automatic),107.5,0
0434-CSFON,0,0,1,0,47,1,Yes,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,100.5,0
1215-FIGMP,1,0,0,0,60,1,Yes,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Bank transfer (automatic),89.9,0
0526-SXDJP,1,0,1,0,72,0,No phone service,DSL,1,1,1,0,0,0,Two year,0,Bank transfer (automatic),42.1,0
0557-ASKVU,0,0,1,1,18,1,No,DSL,0,0,1,1,0,0,One year,1,Credit card (automatic),54.4,0
5698-BQJOH,0,0,0,0,9,1,Yes,Fiber optic,0,0,0,0,1,1,Month-to-month,0,Electronic check,94.4,1
5122-CYFXA,0,0,0,0,3,1,No,DSL,0,1,0,1,1,1,Month-to-month,1,Electronic check,75.3,0
8627-ZYGSZ,1,0,1,0,47,1,Yes,Fiber optic,0,1,0,0,0,0,One year,1,Electronic check,78.9,0
3410-YOQBQ,0,0,0,0,31,1,No,DSL,0,1,1,1,1,1,Two year,0,Mailed check,79.2,0
7410-OIEDU,1,0,0,0,10,1,No,Fiber optic,1,0,1,0,0,0,Month-to-month,1,Mailed check,79.85,0
2273-QCKXA,1,0,0,0,1,1,No,DSL,0,0,0,1,0,0,Month-to-month,0,Mailed check,49.05,0
1891-QRQSA,1,1,1,1,64,1,Yes,Fiber optic,1,0,1,1,1,1,Two year,1,Bank transfer (automatic),111.6,0
5630-AHZIL,0,0,0,1,3,1,No,DSL,1,0,0,1,0,1,Month-to-month,1,Bank transfer (automatic),64.5,0
2673-CXQEU,0,1,0,0,56,1,Yes,Fiber optic,1,1,1,0,1,1,One year,0,Electronic check,110.5,0
6416-JNVRK,0,0,0,0,46,1,No,DSL,0,0,0,0,0,1,One year,0,Credit card (automatic),55.65,0
5590-ZSKRV,0,0,1,1,8,1,No,DSL,1,1,0,0,0,0,Month-to-month,0,Mailed check,54.65,0
0191-ZHSKZ,1,1,0,0,30,1,No,DSL,1,1,0,0,1,1,Month-to-month,1,Electronic check,74.75,0
5919-TMRGD,0,0,0,1,1,1,No,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,79.35,1
8108-UXRQN,0,0,1,1,11,0,No phone service,DSL,1,0,0,0,1,1,Month-to-month,0,Electronic check,50.55,0
9191-MYQKX,0,0,1,0,7,1,No,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Bank transfer (automatic),75.15,1
9919-YLNNG,0,0,0,0,42,1,No,Fiber optic,0,1,1,1,1,1,Month-to-month,1,Bank transfer (automatic),103.8,0
4445-ZJNMU,1,0,0,0,9,1,Yes,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Credit card (automatic),99.3,0
4808-YNLEU,0,0,1,0,35,1,No,DSL,1,0,0,0,1,0,One year,1,Bank transfer (automatic),62.15,0
3016-KSVCP,1,0,1,0,29,0,No phone service,DSL,0,0,0,0,1,0,Month-to-month,0,Mailed check,33.75,0
4767-HZZHQ,1,0,1,1,30,1,No,Fiber optic,0,1,1,0,0,0,Month-to-month,0,Bank transfer (automatic),82.05,0
2424-WVHPL,1,1,0,0,1,1,No,Fiber optic,0,0,0,1,0,0,Month-to-month,0,Electronic check,74.7,0
7233-PAHHL,1,0,1,1,66,1,Yes,DSL,1,0,1,1,1,1,Two year,1,Mailed check,84,0
6067-NGCEU,0,0,0,0,65,1,Yes,Fiber optic,1,1,1,0,1,1,Month-to-month,1,Credit card (automatic),111.05,0
9848-JQJTX,1,0,0,0,72,1,Yes,Fiber optic,0,1,1,0,1,1,Two year,1,Bank transfer (automatic),100.9,0
8637-XJIVR,0,0,0,0,12,1,Yes,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Electronic check,78.95,1
9803-FTJCG,1,0,1,1,71,1,Yes,DSL,1,1,0,1,0,0,One year,1,Credit card (automatic),66.85,0
4598-XLKNJ,0,1,1,0,25,1,No,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,98.5,1
7123-WQUHX,1,0,0,0,38,1,Yes,Fiber optic,0,0,1,1,1,0,One year,0,Bank transfer (automatic),95,0
5386-THSLQ,0,1,1,0,66,0,No phone service,DSL,0,1,1,0,1,0,One year,0,Bank transfer (automatic),45.55,0
3192-NQECA,1,0,1,0,68,1,Yes,Fiber optic,0,1,1,1,1,1,Two year,1,Bank transfer (automatic),110,1
6180-YBIQI,1,0,0,0,5,0,No phone service,DSL,0,0,0,0,0,0,Month-to-month,0,Mailed check,24.3,0
6728-DKUCO,0,0,1,1,72,1,Yes,Fiber optic,1,1,0,0,1,1,One year,1,Electronic check,104.15,0
9750-BOOHV,0,0,0,0,32,0,No phone service,DSL,1,0,0,0,0,0,One year,0,Mailed check,30.15,0
8597-CWYHH,1,0,0,0,43,1,Yes,Fiber optic,0,0,0,0,1,1,One year,0,Mailed check,94.35,0
0486-HECZI,1,0,1,0,55,1,Yes,Fiber optic,1,1,0,0,1,0,Month-to-month,1,Electronic check,96.75,1
4549-ZDQYY,0,0,0,0,52,1,No,DSL,1,0,1,1,0,0,One year,0,Credit card (automatic),57.95,0
5712-AHQNN,0,0,0,0,43,1,No,Fiber optic,0,1,1,0,1,0,Month-to-month,1,Electronic check,91.65,0
4846-WHAFZ,0,1,1,0,37,1,Yes,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,76.5,1
5256-SKJGO,0,0,1,1,64,0,No phone service,DSL,0,1,0,1,1,1,Two year,1,Electronic check,54.6,0
3071-VBYPO,1,0,1,1,3,1,No,Fiber optic,1,1,0,0,1,0,Month-to-month,0,Electronic check,89.85,0
9560-BBZXK,0,0,0,0,36,0,No phone service,DSL,1,0,0,0,0,0,Two year,0,Bank transfer (automatic),31.05,0
5299-RULOA,0,0,1,1,10,1,Yes,Fiber optic,1,0,0,0,1,1,Month-to-month,1,Electronic check,100.25,1
9445-ZUEQE,1,0,1,1,27,1,Yes,Fiber optic,0,1,0,1,0,0,Month-to-month,1,Credit card (automatic),85.2,0
1091-SOZGA,0,0,1,1,56,1,Yes,Fiber optic,0,0,1,0,1,1,One year,1,Credit card (automatic),99.8,0
0404-SWRVG,1,0,0,0,3,1,Yes,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,74.4,1
6497-TILVL,0,0,1,1,7,1,No,DSL,1,0,0,0,0,0,Month-to-month,0,Mailed check,50.7,0
4622-YNKIJ,1,0,0,0,33,1,No,Fiber optic,1,0,0,1,1,0,Two year,1,Electronic check,88.95,0
4412-YLTKF,0,1,0,0,27,1,Yes,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Electronic check,78.05,1
2639-UGMAZ,1,1,0,0,71,0,No phone service,DSL,1,1,0,0,1,1,One year,1,Electronic check,56.45,0
2876-GZYZC,0,0,0,0,13,1,Yes,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,85.95,0
6207-WIOLX,0,0,1,1,25,0,No phone service,DSL,1,1,1,0,1,1,Month-to-month,1,Credit card (automatic),58.6,1
8587-XYZSF,1,0,0,0,67,1,No,DSL,0,0,0,1,0,0,Two year,0,Bank transfer (automatic),50.55,0
3091-FYHKI,1,0,0,0,1,0,No phone service,DSL,0,0,0,0,0,1,Month-to-month,1,Electronic check,35.45,1
2372-HWUHI,1,0,0,0,2,1,No,DSL,0,0,0,0,0,0,Month-to-month,0,Electronic check,44.35,1
7850-VWJUU,0,0,0,0,23,1,No,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),75,0
0390-DCFDQ,0,1,1,0,1,1,No,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Mailed check,70.45,1
3146-MSEGF,0,1,1,1,72,1,Yes,DSL,1,1,1,1,1,1,Two year,1,Credit card (automatic),88.05,0
4080-OGPJL,0,0,0,0,8,1,Yes,DSL,1,0,0,1,0,1,Month-to-month,0,Electronic check,71.15,1
1095-WGNGG,0,0,1,0,61,1,Yes,Fiber optic,0,1,0,0,1,1,Two year,1,Bank transfer (automatic),101.05,0
2636-SJDOU,1,0,0,0,64,1,Yes,Fiber optic,1,1,0,0,0,0,One year,1,Credit card (automatic),84.3,0
5716-EZXZN,0,0,1,1,65,1,Yes,Fiber optic,1,1,0,1,1,0,Two year,1,Credit card (automatic),99.05,0
2135-RXIHG,1,0,0,0,1,1,No,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,45.65,1
6440-DKQGE,1,0,0,1,30,1,No,DSL,0,1,1,0,1,0,One year,0,Credit card (automatic),64.5,0
3466-BYAVD,1,0,1,1,15,1,No,DSL,0,1,1,1,0,1,Month-to-month,1,Mailed check,69.5,0
3780-YVMFA,0,0,1,1,8,1,No,DSL,0,0,0,1,1,1,Month-to-month,1,Electronic check,68.55,0
3874-EQOEP,1,0,0,0,7,1,Yes,Fiber optic,0,0,0,0,1,1,Month-to-month,0,Mailed check,95,1
1679-JRFBR,0,0,1,1,70,1,Yes,Fiber optic,1,1,1,0,1,1,One year,1,Credit card (automatic),108.15,0
9073-ZZIAY,1,0,1,1,62,1,No,DSL,1,1,1,1,1,1,Two year,0,Electronic check,86.1,0
6551-GNYDG,0,0,1,1,14,1,No,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Bank transfer (automatic),80.9,0
9167-APMXZ,0,0,0,0,22,1,Yes,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Bank transfer (automatic),84.15,0
6371-NZYEG,1,0,1,1,16,1,No,DSL,1,0,1,0,1,0,Two year,0,Mailed check,64.25,0
8992-VONJD,0,0,0,1,13,1,No,DSL,1,1,0,0,0,0,Month-to-month,1,Electronic check,56,0
0867-MKZVY,0,0,1,0,20,1,Yes,Fiber optic,1,0,0,0,0,0,Month-to-month,0,Electronic check,82.4,1
4482-EWFMI,0,0,0,0,2,1,No,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,69.7,0
4648-YPBTM,1,0,0,0,53,1,Yes,DSL,0,1,1,1,0,1,Two year,1,Bank transfer (automatic),73.9,0
3376-BMGFE,0,0,0,0,4,1,No,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),70.9,1
5997-OPVFA,1,0,1,0,72,1,Yes,DSL,1,1,1,1,1,1,Two year,1,Bank transfer (automatic),89.05,0
3445-HXXGF,1,1,1,0,58,0,No phone service,DSL,0,1,1,0,0,1,Month-to-month,1,Electronic check,45.3,1
7654-YWJUF,1,0,1,0,43,1,No,Fiber optic,1,0,1,1,0,0,One year,1,Bank transfer (automatic),84.25,0
1875-QIVME,0,0,1,0,2,1,Yes,Fiber optic,0,0,1,1,1,1,Month-to-month,1,Electronic check,104.4,1
6727-IOTLZ,1,0,1,0,14,1,No,DSL,0,1,1,1,1,1,Two year,0,Mailed check,81.95,0
0691-JVSYA,0,0,1,0,53,1,No,Fiber optic,0,0,1,0,1,1,One year,1,Bank transfer (automatic),94.85,1
2656-FMOKZ,0,1,0,0,15,1,Yes,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Mailed check,74.45,1
2070-FNEXE,0,1,0,0,7,1,No,Fiber optic,1,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),76.45,1
5947-SGKCL,0,0,1,1,15,1,Yes,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Bank transfer (automatic),105.35,0
6317-YPKDH,0,0,0,0,1,0,No phone service,DSL,0,1,0,0,0,0,Month-to-month,0,Bank transfer (automatic),29.95,1
6582-OIVSP,0,0,0,0,1,1,No,DSL,0,0,0,0,0,0,Month-to-month,0,Mailed check,45.3,0
9367-WXLCH,1,0,0,0,8,1,Yes,Fiber optic,0,0,0,0,0,1,Month-to-month,0,Bank transfer (automatic),84.5,1
5524-KHNJP,1,0,1,1,33,1,No,DSL,1,0,1,0,1,1,One year,0,Credit card (automatic),74.75,0
1918-ZBFQJ,0,0,0,0,13,1,No,Fiber optic,0,1,1,0,0,0,Month-to-month,1,Electronic check,79.25,1
1024-GUALD,0,0,1,0,1,0,No phone service,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,24.8,1
4827-USJHP,1,0,0,0,20,1,No,DSL,0,1,0,0,0,0,Month-to-month,1,Mailed check,51.8,0
8167-GJLRN,1,0,0,0,3,0,No phone service,DSL,0,0,0,1,0,0,Month-to-month,0,Electronic check,30.4,0
8017-UVSZU,0,0,1,0,40,1,Yes,DSL,0,1,0,0,0,0,Month-to-month,0,Credit card (automatic),56.6,0
7100-FQPRV,1,0,1,1,43,1,Yes,DSL,1,0,0,1,0,1,One year,1,Credit card (automatic),71.9,0
2472-OVKUP,1,0,1,0,6,1,No,Fiber optic,0,1,1,0,0,1,Month-to-month,1,Electronic check,91,1
9680-NIAUV,0,0,1,1,72,1,Yes,Fiber optic,1,1,1,0,1,1,Two year,0,Credit card (automatic),109.7,0
2604-IJPDU,0,0,1,0,20,1,No,Fiber optic,1,1,0,1,1,0,Month-to-month,1,Electronic check,96.55,0
6168-YBYNP,1,0,0,0,59,1,Yes,Fiber optic,0,1,1,1,1,1,Month-to-month,1,Electronic check,111.35,0
7255-SSFBC,1,0,1,1,72,1,Yes,Fiber optic,0,1,1,1,1,1,Two year,1,Bank transfer (automatic),112.25,0
9323-HGFWY,0,0,1,0,27,1,No,Fiber optic,1,0,0,1,1,1,One year,1,Credit card (automatic),101.9,0
8544-GOQSH,0,0,0,0,14,1,No,Fiber optic,0,1,0,1,0,0,Month-to-month,1,Credit card (automatic),80.05,0
3363-DTIVD,1,0,1,1,71,1,Yes,Fiber optic,1,0,1,0,1,1,Two year,0,Electronic check,105.55,0
7018-WBJNK,1,0,0,1,13,1,No,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Credit card (automatic),78.3,0
9142-KZXOP,1,0,0,0,44,1,No,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Credit card (automatic),68.85,0
7674-YTAFD,0,0,0,0,33,1,No,Fiber optic,0,1,0,1,0,0,One year,1,Bank transfer (automatic),79.95,0
6348-SNFUS,1,0,1,1,72,0,No phone service,DSL,1,1,1,1,0,1,Two year,1,Credit card (automatic),55.45,0
1285-OKIPP,1,0,0,0,1,1,No,Fiber optic,0,0,0,0,0,1,Month-to-month,0,Electronic check,79.9,1
7825-ECJRF,0,0,0,0,19,1,No,Fiber optic,1,0,1,1,1,1,Month-to-month,1,Electronic check,106.6,1
1347-KTTTA,1,0,1,0,64,1,No,Fiber optic,0,1,1,1,1,1,One year,1,Credit card (automatic),102.45,0
7841-TZDMQ,1,0,0,0,2,1,No,DSL,0,0,0,0,0,0,Month-to-month,1,Credit card (automatic),46,1
4195-NZGTA,0,0,0,0,1,0,No phone service,DSL,0,0,0,0,0,0,Month-to-month,0,Electronic check,25.25,0
2504-DSHIH,1,1,1,0,23,1,Yes,Fiber optic,0,0,0,0,0,1,Month-to-month,0,Electronic check,86.8,0
0699-NDKJM,0,0,1,0,57,0,No phone service,DSL,1,1,1,0,1,1,Month-to-month,1,Bank transfer (automatic),58.75,0
9286-BHDQG,1,0,1,1,72,0,No phone service,DSL,1,1,1,1,0,0,Two year,0,Credit card (automatic),45.25,0
0230-WEQUW,1,0,1,0,66,0,No phone service,DSL,1,1,1,1,1,0,Two year,1,Bank transfer (automatic),56.6,0
2040-LDIWQ,1,0,1,1,65,1,Yes,DSL,0,1,1,1,1,1,Two year,1,Bank transfer (automatic),84.2,0
6496-JDSSB,0,0,0,0,8,1,No,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Bank transfer (automatic),80,0
9408-SSNVZ,0,0,0,0,4,1,No,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,70.15,1
0742-MOABM,1,0,1,0,4,1,No,DSL,0,0,0,1,0,0,Month-to-month,0,Mailed check,50.05,1
6778-JFCMK,1,0,0,0,24,0,No phone service,DSL,1,0,0,0,1,1,One year,1,Mailed check,50.6,0
6341-JVQGF,0,0,1,1,31,1,No,DSL,1,0,1,1,1,1,One year,1,Mailed check,81.15,0
2232-DMLXU,0,0,1,0,1,1,No,DSL,0,0,0,0,1,0,Month-to-month,0,Mailed check,55.2,1
4811-JBUVU,1,0,0,0,30,1,Yes,Fiber optic,0,0,0,1,0,1,Month-to-month,1,Credit card (automatic),89.9,0
0945-TSONX,0,0,1,1,47,1,Yes,DSL,1,1,0,1,1,1,Two year,1,Credit card (automatic),85.3,0
2651-ZCBXV,1,0,0,0,54,1,Yes,Fiber optic,1,1,0,1,1,1,Two year,1,Credit card (automatic),108,0
3316-UWXUY,1,0,0,0,50,1,No,Fiber optic,1,1,0,1,0,1,Month-to-month,1,Credit card (automatic),93.5,0
8937-RDTHP,1,0,0,0,1,1,No,Fiber optic,1,0,0,0,0,1,Month-to-month,1,Mailed check,84.6,1
1251-KRREG,1,0,0,0,2,1,Yes,DSL,0,1,0,0,0,0,Month-to-month,1,Mailed check,54.4,1
0621-JFHOL,0,0,0,0,10,0,No phone service,DSL,0,0,0,1,0,0,Two year,1,Mailed check,29.6,0
9903-LYSAB,1,0,1,0,18,1,Yes,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,73.15,0
0094-OIFMO,0,1,0,0,11,1,No,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,95,1
7301-ABVAD,0,0,0,0,72,1,Yes,DSL,0,1,1,1,1,1,Two year,0,Bank transfer (automatic),86.6,0
6614-FHDBO,1,0,0,0,72,1,Yes,Fiber optic,0,1,1,1,1,1,Two year,0,Bank transfer (automatic),109.2,0
7576-ASEJU,0,0,1,1,41,1,No,DSL,1,0,0,1,1,1,One year,1,Credit card (automatic),74.7,0
9058-HRZSV,0,1,1,0,65,1,No,Fiber optic,1,1,1,0,0,1,Month-to-month,0,Electronic check,94.4,0
4522-AKYLR,0,1,0,0,13,1,No,DSL,0,1,1,0,0,0,Month-to-month,1,Electronic check,54.8,0
0221-WMXNQ,1,1,0,0,4,1,No,Fiber optic,1,0,0,0,0,0,Month-to-month,0,Electronic check,75.35,0
0303-UNCIP,1,0,0,0,41,1,Yes,DSL,0,0,1,0,0,1,One year,0,Mailed check,65,0
9947-OTFQU,1,1,0,0,15,1,No,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Electronic check,74.4,1
0322-YINQP,1,0,0,0,1,1,No,DSL,1,0,0,0,0,0,Month-to-month,1,Mailed check,48.55,1
0959-WHOKV,1,0,0,0,42,1,Yes,Fiber optic,1,1,1,0,0,1,One year,1,Electronic check,99,0
4075-JFPGR,0,0,1,0,51,1,No,Fiber optic,1,1,1,0,1,0,One year,1,Electronic check,93.5,0
4629-NRXKX,0,0,1,1,2,1,No,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Electronic check,70.4,1
9514-JDSKI,1,1,1,0,1,0,No phone service,DSL,0,1,0,0,1,0,Month-to-month,0,Electronic check,40.2,1
3282-ZISZV,1,0,0,1,32,1,Yes,DSL,0,1,1,1,1,1,One year,0,Credit card (automatic),83.7,0
4111-BNXIF,0,0,1,1,67,0,No phone service,DSL,0,1,1,1,1,1,Two year,1,Electronic check,59.55,0
7017-VFHAY,0,0,1,1,61,1,Yes,Fiber optic,1,1,1,1,1,1,Two year,0,Credit card (automatic),115.1,0
6655-LHBYW,1,0,0,0,50,1,Yes,Fiber optic,1,1,1,1,1,1,One year,0,Credit card (automatic),114.35,0
4959-JOSRX,0,0,1,0,2,1,No,DSL,0,0,0,0,0,0,Month-to-month,1,Credit card (automatic),44.6,1
5046-NUHWD,0,1,1,0,29,0,No phone service,DSL,1,0,1,0,0,1,Month-to-month,1,Electronic check,45,0
7273-TEFQD,1,1,0,0,3,0,No phone service,DSL,0,0,1,0,0,1,Month-to-month,1,Electronic check,41.15,1
3606-TWKGI,1,1,0,0,13,1,Yes,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,106.9,1
7529-ZDFXI,1,1,1,0,57,1,Yes,Fiber optic,0,1,0,0,0,1,Month-to-month,1,Electronic check,89.85,0
7605-BDWDC,0,0,0,0,31,0,No phone service,DSL,1,1,0,1,0,1,Two year,1,Bank transfer (automatic),49.85,0
1950-KSVVJ,0,0,1,0,45,1,Yes,Fiber optic,1,1,1,1,1,1,One year,0,Mailed check,113.3,0
0123-CRBRT,0,0,1,1,61,1,Yes,DSL,1,1,1,1,1,1,Two year,0,Mailed check,88.1,0
3197-ARFOY,0,1,0,0,19,1,No,Fiber optic,1,1,0,1,1,1,Month-to-month,1,Mailed check,105,0
4385-GZQXV,0,1,0,0,16,1,No,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Electronic check,94.45,1
7633-MVPUY,1,0,1,0,57,1,No,DSL,1,1,0,1,0,0,Two year,1,Electronic check,59.75,0
